----------------------- 5:11:21
177	-33.0	-14.0	53.0
178	-34.0	-13.0	53.0
179	-35.0	-14.0	52.0
180	-37.0	-15.0	51.0
181	-40.0	-14.0	50.0
182	-42.0	-15.0	50.0
183	-37.0	-13.0	49.0
184	-35.0	-14.0	51.0
185	-33.0	-16.0	53.0
186	-34.0	-16.0	53.0
187	-35.0	-16.0	52.0
188	-35.0	-15.0	51.0
189	-35.0	-15.0	50.0
190	-35.0	-16.0	51.0
191	-34.0	-17.0	51.0
192	-35.0	-18.0	52.0
----------------------- 5:11:27
193	-33.0	-18.0	52.0
194	-32.0	-18.0	52.0
195	-33.0	-17.0	52.0
196	-33.0	-18.0	52.0
197	-33.0	-17.0	52.0
198	-34.0	-17.0	53.0
199	-34.0	-18.0	52.0
200	-35.0	-18.0	50.0
201	-34.0	-20.0	51.0
202	-33.0	-20.0	51.0
203	-34.0	-20.0	51.0
204	-34.0	-20.0	51.0
205	-35.0	-20.0	50.0
206	-37.0	-20.0	51.0
207	-27.0	-20.0	58.0
208	-25.0	-27.0	61.0
209	-33.0	-32.0	71.0
210	-64.0	-50.0	58.0
211	-44.0	-28.0	64.0
212	-46.0	-11.0	59.0
213	-47.0	-12.0	52.0
214	-53.0	-6.0	34.0
215	-46.0	9.0	24.0
216	-35.0	11.0	22.0
217	-34.0	29.0	24.0
218	-36.0	28.0	27.0
219	-56.0	22.0	15.0
220	-43.0	21.0	18.0
221	-51.0	32.0	12.0
222	-55.0	28.0	14.0
223	-48.0	26.0	7.0
224	-57.0	32.0	8.0
----------------------- 5:11:28
225	-56.0	31.0	8.0
226	-60.0	36.0	5.0
227	-56.0	38.0	9.0
228	-58.0	35.0	10.0
229	-55.0	34.0	12.0
230	-55.0	32.0	11.0
231	-54.0	31.0	14.0
232	-47.0	29.0	17.0
233	-47.0	28.0	18.0
234	-51.0	27.0	20.0
235	-54.0	28.0	16.0
236	-56.0	29.0	15.0
237	-58.0	30.0	14.0
238	-57.0	32.0	14.0
239	-55.0	33.0	16.0
240	-55.0	33.0	15.0
241	-53.0	35.0	14.0
242	-53.0	35.0	14.0
243	-52.0	34.0	15.0
244	-52.0	33.0	16.0
245	-52.0	32.0	16.0
246	-54.0	31.0	14.0
247	-56.0	30.0	13.0
248	-55.0	30.0	15.0
249	-53.0	30.0	16.0
250	-54.0	31.0	15.0
251	-54.0	32.0	15.0
252	-53.0	32.0	15.0
253	-53.0	32.0	16.0
254	-54.0	33.0	14.0
255	-53.0	33.0	13.0
256	-49.0	33.0	12.0
----------------------- 5:11:29
257	-43.0	34.0	8.0
258	-36.0	34.0	8.0
259	-54.0	25.0	4.0
260	-69.0	20.0	-3.0
261	-66.0	15.0	1.0
262	-53.0	12.0	10.0
263	-60.0	14.0	9.0
264	-75.0	13.0	19.0
265	-81.0	20.0	34.0
266	-53.0	30.0	52.0
267	-44.0	29.0	50.0
268	-41.0	20.0	40.0
269	-48.0	16.0	31.0
270	-53.0	15.0	27.0
271	-62.0	15.0	23.0
272	-62.0	16.0	23.0
273	-59.0	18.0	22.0
274	-57.0	18.0	26.0
275	-57.0	17.0	28.0
276	-55.0	17.0	29.0
277	-54.0	17.0	29.0
278	-54.0	18.0	28.0
279	-56.0	18.0	27.0
280	-56.0	18.0	27.0
281	-56.0	17.0	27.0
282	-56.0	17.0	27.0
283	-56.0	17.0	28.0
284	-55.0	17.0	28.0
285	-55.0	17.0	28.0
286	-55.0	17.0	28.0
287	-55.0	17.0	27.0
288	-56.0	17.0	26.0
----------------------- 5:11:30
289	-57.0	17.0	27.0
290	-56.0	17.0	27.0
291	-56.0	17.0	27.0
292	-56.0	17.0	27.0
293	-55.0	16.0	27.0
294	-55.0	16.0	27.0
295	-56.0	16.0	27.0
296	-56.0	17.0	28.0
297	-56.0	17.0	28.0
298	-55.0	16.0	28.0
299	-55.0	17.0	27.0
300	-55.0	18.0	26.0
301	-57.0	18.0	26.0
302	-57.0	18.0	26.0
303	-56.0	18.0	26.0
304	-56.0	18.0	26.0
305	-57.0	18.0	26.0
306	-57.0	17.0	27.0
307	-57.0	17.0	27.0
308	-56.0	17.0	27.0
309	-56.0	16.0	27.0
310	-56.0	15.0	27.0
311	-56.0	15.0	27.0
312	-56.0	15.0	28.0
313	-56.0	15.0	28.0
314	-55.0	16.0	28.0
315	-55.0	16.0	27.0
316	-56.0	16.0	28.0
317	-55.0	15.0	28.0
318	-55.0	14.0	29.0
319	-56.0	14.0	29.0
320	-55.0	14.0	29.0
----------------------- 5:11:31
