1684727531.000000, 1684727531.000000, 1684727531.000000
32.000000, 32.000000, 32.000000
29,2,56
29,1,55
29,2,57
29,2,57
28,2,56
27,2,56
27,2,56
28,2,56
30,2,56
31,2,57
30,1,57
29,1,56
28,1,54
29,2,58
29,2,57
29,1,56
30,2,56
30,1,56
30,1,55
31,1,55
30,1,56
30,1,56
30,1,56
29,1,56
30,1,56
30,1,56
30,1,56
30,1,56
30,1,56
30,1,56
30,1,55
29,1,55
30,1,56
30,1,56
30,1,55
30,1,56
30,1,56
30,1,56
30,1,55
30,1,55
31,1,55
30,1,56
30,1,56
30,1,56
30,1,56
30,1,56
30,1,55
30,1,55
30,0,55
31,1,56
30,1,55
30,1,56
30,1,56
30,1,55
30,1,56
30,1,55
30,1,56
30,0,56
31,1,56
30,1,56
30,1,55
30,1,55
30,1,55
30,1,56
30,1,55
30,1,56
30,1,56
30,1,56
30,1,56
31,1,56
31,1,56
30,1,56
30,1,56
30,1,55
30,0,56
30,1,56
30,1,55
30,0,56
30,1,56
30,0,56
30,1,55
30,1,56
30,1,56
30,1,55
30,1,56
30,1,55
30,0,55
30,1,56
30,1,56
30,0,55
30,1,56
30,1,55
30,0,56
30,0,55
30,1,55
30,0,55
30,0,56
30,1,56
30,0,55
30,1,56
30,0,55
30,1,55
30,0,56
30,0,56
30,0,55
30,0,55
30,1,55
30,0,55
30,1,56
30,1,55
30,0,55
30,1,56
30,0,55
30,1,55
30,1,56
31,0,56
30,0,56
30,0,55
30,1,55
30,0,55
30,1,56
30,1,55
30,0,56
30,0,56
30,0,55
30,0,55
30,1,56
30,1,56
30,0,56
31,0,55
30,0,55
30,0,55
30,0,55
30,1,55
30,0,56
30,1,56
30,0,55
30,1,56
30,0,56
31,1,56
30,0,56
31,0,55
30,1,56
30,0,55
30,1,56
30,1,55
30,0,56
30,0,55
30,0,55
30,1,56
30,0,55
30,1,55
30,0,56
31,0,55
30,0,56
31,0,55
30,1,56
30,1,55
30,0,56
30,1,56
30,0,55
30,1,56
