----------------------- 8:55:26
1	10.0	23.0	59.0
2	11.0	22.0	58.0
3	10.0	23.0	59.0
4	11.0	22.0	59.0
5	11.0	22.0	59.0
6	10.0	22.0	58.0
7	10.0	23.0	58.0
8	10.0	22.0	59.0
9	11.0	23.0	59.0
10	11.0	23.0	59.0
11	10.0	22.0	58.0
12	11.0	22.0	58.0
13	10.0	23.0	58.0
14	10.0	23.0	59.0
15	10.0	22.0	58.0
16	11.0	22.0	59.0
17	10.0	22.0	59.0
18	11.0	22.0	58.0
19	11.0	22.0	59.0
20	10.0	22.0	58.0
21	11.0	22.0	59.0
22	10.0	22.0	58.0
23	11.0	22.0	59.0
24	11.0	22.0	59.0
25	11.0	22.0	59.0
26	11.0	22.0	59.0
27	11.0	22.0	58.0
28	11.0	22.0	59.0
29	10.0	22.0	59.0
30	11.0	22.0	59.0
31	10.0	22.0	58.0
32	11.0	22.0	58.0
----------------------- 8:55:27
33	10.0	23.0	58.0
34	10.0	22.0	59.0
35	11.0	22.0	58.0
36	10.0	22.0	59.0
37	11.0	22.0	59.0
38	11.0	22.0	59.0
39	11.0	22.0	59.0
40	11.0	23.0	58.0
41	11.0	22.0	59.0
42	11.0	22.0	58.0
43	11.0	22.0	59.0
44	10.0	22.0	59.0
45	11.0	22.0	59.0
46	11.0	22.0	58.0
47	11.0	23.0	59.0
48	11.0	22.0	59.0
49	11.0	22.0	58.0
50	10.0	22.0	59.0
51	11.0	22.0	59.0
52	10.0	22.0	59.0
53	10.0	22.0	58.0
54	11.0	22.0	59.0
55	11.0	22.0	58.0
56	10.0	22.0	59.0
57	10.0	22.0	59.0
58	11.0	22.0	59.0
59	11.0	22.0	59.0
60	10.0	22.0	58.0
61	10.0	22.0	59.0
62	10.0	22.0	59.0
63	11.0	22.0	58.0
64	10.0	22.0	58.0
----------------------- 8:55:28
65	11.0	22.0	59.0
66	11.0	22.0	59.0
67	11.0	22.0	58.0
68	11.0	22.0	59.0
69	10.0	22.0	58.0
70	11.0	22.0	59.0
71	11.0	22.0	59.0
72	11.0	22.0	58.0
73	11.0	22.0	58.0
74	11.0	22.0	59.0
75	11.0	22.0	58.0
76	11.0	22.0	59.0
77	11.0	22.0	59.0
78	11.0	22.0	60.0
79	11.0	22.0	59.0
80	11.0	22.0	59.0
81	11.0	22.0	59.0
82	11.0	22.0	58.0
83	11.0	22.0	59.0
84	11.0	22.0	58.0
85	11.0	22.0	59.0
86	11.0	22.0	59.0
87	11.0	22.0	59.0
88	11.0	22.0	59.0
89	10.0	22.0	59.0
90	11.0	22.0	59.0
91	11.0	22.0	58.0
92	11.0	22.0	59.0
93	11.0	22.0	59.0
94	11.0	22.0	59.0
