1676288481.000000, 1676288481.000000, 1676288481.000000
32.000000, 32.000000, 32.000000
-67,13,11
-61,17,23
-65,18,25
-58,20,25
-58,20,21
-56,19,16
-62,18,14
-60,16,12
-59,17,9
-59,17,11
-51,16,15
-51,13,19
-63,11,25
-53,13,31
-54,17,30
-58,20,25
-53,23,24
-57,21,16
-60,24,17
-57,24,17
-62,28,16
-61,28,17
-58,23,24
-56,20,22
-55,18,23
-55,13,31
-58,14,30
-55,15,25
-57,17,21
-57,18,22
-59,22,18
-59,24,17
-59,25,14
-59,25,12
-62,22,11
-63,19,12
-62,18,13
-60,17,16
-59,18,16
-59,19,17
-58,19,18
-57,19,18
-59,20,15
-60,20,15
-61,20,14
-60,20,15
-59,20,15
-59,18,16
-59,18,16
-60,19,17
-60,20,16
-59,20,16
-60,20,14
-60,20,14
-60,19,15
-59,18,17
-59,18,17
-59,18,17
-59,19,17
-59,20,16
-60,20,15
-61,19,15
-60,19,13
-59,19,13
-60,19,15
-60,19,15
-61,20,14
-59,21,15
-58,21,15
-58,21,15
-59,20,15
-62,19,14
-60,18,16
-59,16,18
-63,14,18
-58,16,20
-58,14,27
-58,23,24
-57,26,19
-59,26,16
-65,26,13
-48,25,19
-47,25,18
-49,27,2
-61,27,-14
-57,39,-18
-43,33,-21
-64,35,-24
-50,28,-7
-59,-1,20
-54,-13,24
-24,-33,31
-16,-38,41
-27,-45,46
-28,-48,36
-34,-54,35
-45,-60,30
-42,-56,31
-33,-51,37
-10,-90,72
-28,-49,33
-51,-58,26
-26,-49,42
-28,-25,14
-27,-49,29
-18,-42,34
-26,-42,13
-24,-44,15
-57,-53,17
-23,-48,22
-21,-64,18
-18,-88,30
-20,-77,26
-22,-72,13
-41,-73,12
-44,-41,12
-5,-45,6
-40,-53,4
-21,-61,29
-16,-66,41
-38,-57,-4
-13,-34,36
-41,-70,35
-47,-42,28
-48,-61,14
-9,-49,-5
-18,-52,8
-25,-58,11
-30,-55,16
-37,-54,17
-25,-58,20
-16,-58,27
-25,-57,33
-36,-54,16
-37,-55,13
-31,-53,-3
-15,-57,10
-28,-67,7
-18,-50,20
-16,-57,32
-37,-69,28
-31,-67,28
-28,-74,7
-17,-62,19
-18,-59,20
-17,-63,25
-12,-51,41
21,-72,53
-3,-57,35
2,-62,32
-22,-55,26
-11,-43,29
-10,-31,23
-34,0,18
-19,24,24
-37,-1,77
